Quote_ID,Original_Quote_Date,Field_info1,Field_info2,Field_info3,Field_info4,Coverage_info1,Coverage_info2,Coverage_info3,Sales_info1,Sales_info2,Sales_info3,Sales_info4,Sales_info5,Personal_info1,Personal_info2,Personal_info3,Personal_info4,Personal_info5,Property_info1,Property_info2,Property_info3,Property_info4,Property_info5,Geographic_info1,Geographic_info2,Geographic_info3,Geographic_info4,Geographic_info5
23122,28/09/2013,B,0.9403,965,N,5,22,D,1,5,4,R,63756,N,23,ZA,0,2,N,0,O,0,13,2,11,-1,N,CA
14602,19/11/2014,B,0.9153,935,N,8,22,E,1,4,11,K,50193,N,5,ZA,0,2,N,0,O,1,23,2,9,-1,N,CA
14128,9/01/2014,B,0.9403,935,N,3,22,E,1,3,20,Q,66027,N,6,ZA,0,2,N,0,O,1,7,2,12,-1,N,CA
12028,17/03/2015,F,1.0101,548,N,10,22,E,1,5,11,R,54030,N,16,YF,0,,N,0,R,1,16,4,21,-1,N,NJ
22364,30/11/2014,B,0.9153,935,N,17,22,D,1,5,11,T,61541,N,5,ZA,0,2,Y,0,O,1,19,2,4,-1,N,CA
15315,13/11/2013,B,0.9403,965,N,14,22,D,0,5,7,T,12330,N,5,ZA,0,2,N,0,O,0,15,2,4,-1,N,CA
4140,27/11/2014,B,0.9153,935,N,25,22,D,1,5,11,M,60925,N,25,ZA,0,2,N,0,O,1,18,2,12,-1,N,CA
25594,23/08/2013,F,0.9919,564,N,4,22,E,1,3,21,V,57037,N,22,XR,0,,N,0,R,1,17,4,20,-1,N,NJ
4043,8/03/2013,B,0.9403,965,N,6,22,E,0,3,14,V,41628,N,21,ZA,0,2,N,0,O,1,12,2,4,-1,N,CA
4157,6/03/2015,C,0.893,"1,487",Y,11,22,I,1,5,11,V,716,N,1,XB,0,,N,0,S,1,5,9,25,-1,N,IL
17349,24/08/2013,J,0.9691,"1,165",N,7,22,G,1,5,4,R,64840,N,7,XD,0,,N,0,I,1,4,14,5,25,N,TX
12542,18/04/2014,F,1.0006,548,N,17,22,J,1,3,20,T,10982,N,9,XD,0,,N,0,H,1,24,4,19,-1,N,NJ
1505,26/05/2013,B,0.9403,965,N,12,25,J,1,4,1,M,50073,N,-1,ZA,0,2,N,0,O,1,24,2,9,-1,N,CA
15609,5/11/2013,E,0.9482,"1,480",N,5,22,K,0,4,7,P,63410,N,-1,XC,0,,N,0,R,1,7,9,24,-1,Y,IL
15650,28/02/2013,B,0.9403,965,N,11,22,E,1,3,14,Q,43710,N,5,ZA,0,2,Y,0,O,0,23,1,8,-1,N,CA
983,6/03/2014,F,0.9566,548,N,6,25,E,1,4,11,T,18863,N,6,XD,0,,Y,0,R,1,8,4,17,-1,N,NJ
12391,1/02/2013,E,0.9368,"1,480",N,16,22,A,1,3,14,V,60719,N,16,XJ,0,,N,0,R,1,23,9,24,-1,N,IL
7920,14/11/2014,J,0.887,"1,113",N,12,22,G,1,5,11,R,48384,N,-1,ZA,0,2,N,0,J,0,13,14,5,-1,Y,TX
14697,24/09/2014,E,0.9194,"1,487",N,10,2,A,0,2,20,T,4840,N,19,XO,0,,N,0,S,1,19,9,23,-1,N,IL
491,20/06/2013,E,0.9485,"1,480",N,2,25,K,1,4,1,Q,27330,N,-1,XB,0,,N,0,R,0,1,10,23,-1,N,IL
4752,8/04/2014,B,0.9153,935,N,4,25,E,1,3,20,P,20076,N,7,ZA,0,2,N,0,D,1,15,2,7,-1,N,CA
9578,30/04/2013,E,0.9525,"1,480",N,3,22,K,1,5,1,P,57781,N,16,ZA,0,2,Y,0,R,0,2,8,23,-1,N,IL
3161,17/01/2014,F,0.9838,548,N,11,22,E,0,3,20,K,10287,N,5,XR,0,2,N,0,R,1,22,4,22,-1,N,NJ
7068,11/03/2015,K,0.887,"1,113",Y,10,22,F,0,5,11,T,37663,N,-1,ZA,0,2,N,0,S,0,5,14,9,-1,N,TX
12714,31/08/2014,F,1.0006,548,N,14,22,G,0,5,10,M,9336,N,4,XM,0,,N,0,R,1,19,4,22,-1,N,NJ
18702,23/07/2013,F,0.9919,564,N,12,22,G,1,3,16,P,222,N,16,YE,0,,N,0,S,0,10,4,20,-1,N,NJ
17988,4/06/2013,F,0.9919,564,N,2,22,E,1,3,17,P,24711,N,5,XB,0,,N,0,O,1,9,4,18,-1,N,NJ
7120,19/01/2015,B,0.9153,935,N,17,2,D,0,5,8,K,16704,N,4,ZA,0,2,N,0,O,1,22,2,10,-1,N,CA
7369,9/03/2014,F,0.9566,548,N,4,2,E,0,5,20,M,35461,N,4,XB,0,,N,0,R,1,14,4,22,-1,N,NJ
3926,14/08/2013,F,0.9919,564,N,9,22,E,1,5,4,T,58790,N,-1,XH,0,,N,0,R,1,9,4,20,-1,N,NJ
573,23/07/2013,B,0.9403,965,N,10,25,D,1,5,1,P,43260,N,-1,ZA,0,2,N,0,O,1,11,2,10,-1,N,CA
24049,7/10/2014,E,0.9108,"1,487",N,3,22,K,1,5,11,K,49165,N,12,ZD,0,,N,0,N,1,1,11,23,-1,N,IL
22185,3/06/2013,B,0.9403,965,N,9,22,D,0,5,17,M,13786,N,-1,ZA,0,2,N,0,D,0,15,2,9,-1,N,CA
6201,14/08/2013,E,0.9487,"1,480",N,4,22,K,1,5,4,T,22172,N,14,ZA,0,2,N,0,R,0,6,9,24,-1,N,IL
2446,14/04/2015,B,0.9153,935,N,17,22,K,1,3,20,P,28713,N,7,ZA,0,2,N,0,O,0,25,2,4,-1,N,CA
15898,11/03/2014,E,0.9392,"1,487",N,2,2,K,1,4,11,P,8923,N,6,XD,0,,N,0,R,1,1,8,23,-1,N,IL
9412,12/05/2015,K,0.887,"1,113",Y,19,22,G,1,5,11,P,64628,N,-1,ZA,0,2,N,0,J,0,15,14,4,-1,N,TX
12659,13/04/2014,B,0.9153,935,N,4,22,D,1,5,11,M,889,N,13,ZA,0,2,N,0,O,0,4,2,4,-1,N,CA
18123,13/07/2014,J,0.8928,"1,113",N,4,22,F,0,5,11,M,66466,N,-1,XM,0,,N,0,I,1,5,14,4,-1,N,TX
18226,17/09/2013,B,0.9403,965,N,25,22,D,1,5,4,P,54384,N,10,ZA,0,2,N,0,O,0,24,2,11,-1,N,CA
3314,14/05/2013,J,0.9691,"1,165",N,3,22,F,0,2,3,P,66267,N,18,XS,0,2,N,0,I,1,2,13,7,-1,N,TX
22100,12/07/2013,B,0.9403,965,N,8,22,J,1,4,1,P,50481,N,5,ZA,0,1,Y,0,O,1,19,2,4,-1,N,CA
22841,21/02/2015,K,0.887,"1,113",Y,23,2,G,1,5,11,V,8754,N,5,XH,0,,N,0,J,1,19,14,5,-1,N,TX
21462,19/09/2014,J,0.8928,"1,113",N,6,22,G,1,5,11,V,66778,N,6,XX,0,,N,0,J,1,4,13,8,-1,N,TX
25491,5/09/2013,B,0.9403,965,N,7,22,D,1,5,4,Q,5245,N,5,ZA,0,2,N,0,O,1,8,2,4,-1,N,CA
21956,2/10/2013,E,0.9482,"1,480",N,11,22,A,1,4,4,T,49321,N,7,XB,0,,N,0,R,1,18,9,23,-1,N,IL
15565,26/02/2013,E,0.9368,"1,480",N,21,25,A,1,4,23,Q,33251,N,25,XS,0,2,N,0,J,1,19,9,23,-1,N,IL
12054,13/05/2013,B,0.9403,965,N,10,22,D,0,5,15,K,28058,N,-1,ZA,0,2,N,0,O,0,23,2,13,-1,N,CA
25868,30/01/2013,F,0.9223,564,N,5,22,E,1,3,14,T,43956,N,6,XJ,0,2,N,0,N,0,13,4,22,-1,N,NJ
7893,16/10/2013,E,0.9482,"1,480",N,9,22,F,0,5,4,T,10585,N,-1,ZA,0,2,N,0,R,0,10,9,24,-1,N,IL
744,1/05/2013,E,0.9525,"1,480",N,3,22,K,0,5,10,T,37286,N,18,XR,0,,N,0,D,1,4,11,25,-1,N,IL
8925,15/01/2014,F,0.9838,548,N,23,2,E,1,5,7,T,35428,N,21,XR,0,,N,0,R,0,14,4,20,-1,N,NJ
10864,5/02/2013,B,0.9403,965,N,9,22,J,0,5,24,P,63137,N,5,ZA,0,2,N,0,D,0,23,1,6,-1,N,CA
5302,29/12/2014,F,1.0005,548,N,5,25,E,1,2,20,Q,64731,N,9,ZF,0,,N,0,R,1,4,4,18,-1,N,NJ
1171,23/03/2015,K,0.887,"1,113",Y,25,22,G,1,5,11,K,3051,N,-1,YE,0,,N,0,J,1,16,14,6,-1,Y,TX
19159,5/11/2014,J,0.887,"1,113",N,11,25,G,1,4,11,T,36757,N,9,XJ,0,,N,0,I,1,25,14,5,-1,N,TX
2481,6/01/2015,B,0.9153,935,N,11,22,D,0,5,20,K,54362,Y,10,ZA,0,2,N,0,O,1,22,2,12,-1,N,CA
1686,29/08/2013,B,0.9403,965,N,9,25,J,1,4,4,Q,65765,N,6,ZA,0,2,N,0,O,0,16,2,4,-1,N,CA
20894,5/08/2014,E,0.9364,"1,487",N,9,22,F,1,5,11,T,15545,N,13,XH,0,,N,0,N,0,17,9,25,-1,N,IL
13400,21/11/2013,E,0.9482,"1,480",N,1,22,K,0,5,10,Q,40978,N,4,XZ,0,,N,0,D,0,1,11,25,-1,N,IL
13547,23/04/2013,B,0.9403,965,N,19,22,D,1,2,15,P,8346,N,5,ZA,0,2,N,0,O,0,25,2,9,-1,N,CA
18492,8/05/2013,B,0.9403,965,N,12,22,D,1,5,1,T,35248,N,7,ZA,0,2,N,0,O,0,19,2,12,-1,N,CA
1097,6/04/2015,D,1.0101,548,N,10,25,J,1,3,8,K,53410,N,6,ZR,0,,Y,0,N,1,18,4,18,-1,N,NJ
19254,29/12/2014,J,0.887,"1,113",N,2,22,F,1,4,22,K,9538,N,5,XR,0,,N,0,R,1,2,25,4,-1,N,TX
8336,8/01/2013,F,0.9223,564,N,10,25,E,1,3,23,P,42814,N,14,XD,0,,N,0,D,1,22,4,20,-1,N,NJ
24955,30/03/2014,B,0.9153,935,N,11,25,D,1,5,20,M,60875,N,-1,ZA,0,2,Y,0,O,1,14,2,13,-1,N,CA
21346,6/03/2014,B,0.9153,935,N,8,22,D,0,5,20,Q,33339,N,5,ZA,0,2,N,0,O,0,5,2,13,-1,N,CA
19089,16/03/2015,B,0.9153,935,N,2,22,E,1,3,20,Q,23167,N,7,ZA,0,2,N,0,D,0,12,1,4,-1,N,CA
4072,9/09/2014,J,0.8928,"1,113",N,9,22,F,1,5,11,P,20247,N,6,XJ,0,,N,0,S,1,10,18,4,-1,N,TX
1639,17/06/2014,B,0.9153,935,N,5,22,D,1,5,11,P,22795,N,22,ZA,0,2,N,0,R,1,8,2,13,-1,N,CA
9980,16/12/2013,F,0.9838,564,N,5,22,E,1,5,20,K,20053,N,6,XS,0,,N,0,N,1,9,4,18,-1,N,NJ
493,21/08/2014,J,0.8928,"1,113",N,25,22,G,1,4,11,Q,56809,N,21,XW,0,,N,0,J,1,20,14,6,-1,N,TX
10791,11/03/2014,B,0.9153,935,N,3,22,D,1,5,20,P,38151,N,-1,ZA,0,2,N,0,D,0,15,2,8,-1,N,CA
10788,26/11/2014,B,0.9153,935,N,11,25,E,0,2,20,K,66019,N,7,ZA,0,2,N,0,O,1,17,2,4,-1,N,CA
4075,12/06/2014,B,0.9153,935,N,3,22,D,1,5,11,Q,58808,N,14,ZA,0,2,N,0,O,0,14,2,11,25,N,CA
14920,23/07/2014,F,1.0006,548,N,6,22,E,1,5,11,Q,10125,N,-1,ZC,0,,N,0,R,0,12,4,17,-1,N,NJ
2662,5/11/2014,J,0.887,"1,113",N,8,25,G,1,4,8,T,13122,N,4,YI,0,,N,0,J,1,12,24,12,-1,Y,TX
21745,1/03/2014,F,0.9566,548,N,3,22,E,1,5,11,R,11631,N,-1,XE,0,,N,0,R,1,5,4,18,-1,N,NJ
16570,10/04/2015,K,0.887,"1,113",Y,3,25,F,1,4,11,V,53197,N,7,XM,0,,N,0,I,1,4,14,7,-1,N,TX
17599,6/09/2013,B,0.9403,965,N,18,22,D,1,5,4,V,11355,N,-1,ZA,0,2,N,0,O,0,21,2,11,-1,N,CA
12561,14/05/2015,F,1.0101,548,N,8,22,E,0,3,11,V,53084,N,5,XQ,0,,N,0,D,0,13,4,19,-1,N,NJ
3982,18/02/2014,F,0.9685,548,N,16,22,E,1,3,20,Q,47936,N,8,XJ,0,,Y,0,D,1,23,4,21,-1,N,NJ
12795,19/07/2013,J,0.9691,"1,165",N,4,22,F,0,5,1,V,2094,N,6,ZA,0,2,N,0,J,0,3,14,8,-1,N,TX
11951,30/12/2014,J,0.887,"1,113",N,25,25,G,1,5,11,P,43800,N,17,XH,0,,Y,0,S,1,24,14,6,-1,N,TX
4260,12/04/2014,B,0.9153,935,N,5,22,D,1,5,11,R,16284,N,16,ZA,0,2,N,0,O,0,21,2,10,-1,N,CA
6901,25/06/2013,F,0.9919,564,N,10,22,E,1,3,17,P,12413,N,-1,XS,0,,N,0,J,1,14,4,22,-1,N,NJ
7725,21/09/2013,B,0.9403,965,N,18,25,D,0,5,24,R,271,N,5,ZA,0,2,N,0,O,0,25,2,8,-1,N,CA
3509,31/01/2014,J,0.8922,"1,113",N,18,22,A,0,5,7,V,9302,N,7,YI,0,,N,0,J,1,20,14,6,-1,N,TX
13504,17/03/2015,F,1.0101,548,N,10,22,E,1,3,20,P,19051,N,6,XD,0,,N,0,R,0,9,4,18,-1,N,NJ
20704,5/12/2013,B,0.9403,965,N,8,22,E,1,3,20,Q,16358,N,4,ZA,0,2,N,0,O,1,7,2,8,-1,N,CA
19563,25/03/2013,F,0.8945,564,N,23,25,E,1,3,15,K,40066,N,10,ZT,0,,N,0,J,1,24,4,21,-1,N,NJ
1496,15/12/2014,B,0.9153,935,N,4,22,E,1,4,11,K,48158,N,5,ZA,0,2,N,0,O,1,3,2,13,-1,Y,CA
18459,1/12/2014,B,0.9153,935,N,10,22,D,1,5,11,K,54159,N,12,ZA,0,2,N,0,D,1,23,2,13,-1,N,CA
3782,25/07/2013,B,0.9403,965,N,3,22,D,0,5,24,T,1074,N,-1,ZA,0,2,N,0,D,1,8,2,10,-1,N,CA
1548,9/01/2014,B,0.9403,935,N,7,22,E,1,3,20,Q,63370,N,21,ZA,0,2,N,0,O,1,12,2,4,-1,N,CA
18466,18/02/2013,F,0.9023,564,N,6,22,E,1,3,14,K,21570,N,7,ZH,0,,N,0,R,1,13,4,22,-1,N,NJ
22995,5/06/2013,B,0.9403,965,N,6,22,D,0,4,1,K,14169,N,7,ZA,0,2,N,0,D,0,14,2,9,-1,N,CA
25038,28/06/2014,B,0.9153,935,N,3,22,D,0,5,10,R,65979,N,24,ZA,0,2,N,0,O,1,2,2,5,-1,N,CA
7264,20/01/2014,B,0.9403,935,N,20,22,J,1,3,20,K,58628,N,7,ZA,0,2,N,0,O,1,19,2,12,-1,N,CA
16627,26/03/2015,F,1.0101,548,N,4,25,E,1,5,11,Q,66206,N,10,XJ,0,,N,0,R,1,3,4,16,-1,N,NJ
8359,11/12/2014,E,0.9108,"1,487",N,6,22,F,1,5,11,Q,49589,N,5,XR,0,,N,0,D,1,9,9,23,-1,N,IL
10688,3/12/2013,J,0.8922,"1,165",N,8,22,G,1,5,7,P,24604,N,16,ZA,0,2,Y,0,R,0,6,14,5,-1,N,TX
2543,20/02/2013,B,0.9403,965,N,12,25,J,1,3,14,P,58475,N,6,ZA,0,2,N,0,O,1,18,2,4,-1,N,CA
24984,7/03/2013,E,0.9375,"1,480",N,2,25,K,1,4,23,Q,35562,N,4,XM,0,,N,0,R,1,4,11,24,-1,N,IL
10121,25/09/2013,B,0.9403,965,N,11,22,D,0,5,4,K,54550,N,5,ZA,0,2,N,0,S,1,25,2,10,-1,N,CA
10265,12/05/2015,F,1.0101,548,N,9,22,J,1,5,11,P,20096,N,6,XO,0,,N,0,R,1,11,4,16,-1,N,NJ
279,9/04/2014,B,0.9153,935,N,8,22,E,1,3,20,V,61374,N,6,ZA,0,2,N,0,O,0,16,2,12,-1,N,CA
15750,8/03/2013,F,0.8945,564,N,6,22,E,1,5,23,V,2667,N,12,ZR,0,,N,0,N,1,11,4,18,-1,N,NJ
16449,18/10/2014,J,0.8793,"1,113",N,4,22,F,0,5,22,R,57501,N,5,ZA,0,2,N,0,R,0,2,24,15,-1,N,TX
3270,24/02/2014,B,0.9403,935,N,16,22,D,0,5,24,K,3082,N,-1,ZA,0,2,N,0,O,0,25,2,4,-1,N,CA
22351,5/01/2015,K,0.887,"1,113",Y,25,22,A,1,5,11,K,18452,N,14,XS,0,,Y,0,Q,1,22,24,14,-1,N,TX
3246,1/12/2013,B,0.9403,965,N,7,22,D,0,5,24,M,17988,N,6,ZA,0,2,N,0,R,1,4,2,12,25,N,CA
94,11/04/2015,F,1.0101,548,N,1,22,E,1,5,20,R,51904,N,5,XC,0,,N,0,R,1,3,4,16,-1,N,NJ
316,4/03/2015,K,0.887,"1,113",Y,6,22,F,1,5,11,T,5831,N,-1,XM,0,,N,0,J,1,7,24,15,-1,N,TX
20962,22/07/2014,J,0.8928,"1,113",N,4,25,K,1,4,11,P,19011,N,3,XB,0,,N,0,R,1,4,14,6,-1,N,TX
169,19/12/2014,F,1.0005,548,N,9,22,E,1,3,20,Q,10738,N,9,XX,0,,N,0,D,1,24,4,22,-1,N,NJ
19091,6/03/2015,F,1.0101,548,N,5,22,E,1,3,20,T,40234,N,9,XM,0,,N,0,N,1,13,4,20,-1,N,NJ
23937,16/08/2014,J,0.8928,"1,113",N,2,22,F,1,5,11,R,26732,N,5,XD,0,,N,0,D,1,1,13,6,-1,N,TX
2730,12/10/2013,F,0.9919,564,N,6,25,B,1,4,4,R,42774,N,6,XX,0,,N,0,R,1,14,4,20,-1,N,NJ
7478,11/07/2014,B,0.9153,935,N,5,22,E,1,3,20,V,2637,N,4,ZA,0,2,N,0,O,0,21,2,4,-1,N,CA
21267,29/06/2014,E,0.9392,"1,487",N,3,22,K,1,5,20,M,40375,N,5,ZA,0,2,N,0,R,0,4,9,23,-1,N,IL
14411,17/07/2014,B,0.9153,935,N,4,22,E,1,3,20,Q,19670,N,4,ZA,0,2,Y,0,O,1,22,2,11,-1,N,CA
10102,9/05/2015,C,0.8746,"1,487",Y,3,22,K,1,5,11,R,14213,N,7,XD,0,,N,0,R,1,1,11,24,-1,N,IL
14160,29/10/2014,F,1.0006,548,N,4,22,E,0,3,20,Q,56762,N,6,XQ,0,,N,0,N,1,12,4,19,-1,N,NJ
4566,24/04/2015,B,0.9153,935,N,10,22,E,1,3,20,V,20936,N,5,ZA,0,2,N,0,O,1,24,2,4,-1,N,CA
11560,12/05/2014,F,1.0006,548,N,8,2,I,1,5,20,K,14898,N,-1,XM,0,,N,0,R,1,17,4,19,-1,N,NJ
19130,25/11/2014,J,0.887,"1,113",N,14,22,F,1,5,11,P,53221,N,6,XO,0,,N,0,A,1,9,6,4,-1,N,TX
23443,17/12/2014,J,0.887,"1,113",N,8,22,G,1,5,11,T,17674,N,8,XX,0,,N,0,I,1,10,14,5,-1,N,TX
11506,28/03/2014,F,0.9566,548,N,9,22,E,1,5,11,V,48519,N,23,ZH,0,,N,0,N,0,12,4,20,-1,N,NJ
5990,25/01/2014,B,0.9403,935,N,9,22,D,1,5,20,R,45646,N,8,ZA,0,2,N,0,O,0,21,2,9,-1,N,CA
24599,12/09/2013,F,0.9919,564,N,3,22,E,1,4,4,Q,43982,N,12,YH,0,,N,0,R,1,10,4,20,-1,N,NJ
22469,23/05/2014,J,0.8928,"1,113",N,3,22,F,0,5,11,V,37416,N,-1,ZA,0,2,N,0,R,0,2,24,13,-1,N,TX
12634,20/03/2014,B,0.9153,935,N,8,2,K,0,4,11,Q,35474,N,1,ZA,0,2,Y,0,O,1,22,2,12,-1,N,CA
25593,3/10/2013,B,0.9403,965,N,11,25,D,0,5,4,Q,47726,N,-1,ZA,0,2,N,0,O,1,23,1,15,-1,N,CA
12167,5/08/2013,B,0.9403,965,N,9,22,D,0,5,4,K,42385,N,-1,ZA,0,2,N,0,D,0,23,1,11,-1,N,CA
22916,6/11/2013,J,0.9258,"1,165",N,8,22,F,0,5,7,T,32353,N,6,ZA,0,2,N,0,I,0,9,14,6,-1,N,TX
11115,15/06/2013,B,0.9403,965,N,15,25,E,1,3,17,R,53038,N,7,ZA,0,2,N,0,O,0,25,2,9,-1,N,CA
7640,15/10/2014,J,0.8793,"1,113",N,22,22,G,1,5,11,T,59006,N,-1,XS,0,,N,0,S,1,12,12,5,-1,N,TX
10762,25/03/2014,E,0.9392,"1,487",N,13,22,F,0,5,11,P,24381,N,7,ZA,0,2,N,0,R,0,12,9,24,-1,N,IL
6632,13/12/2013,F,0.9838,564,N,20,22,F,0,5,20,V,20846,N,24,ZF,0,,N,0,D,1,24,4,21,-1,N,NJ
18325,9/03/2013,B,0.9403,965,N,8,22,D,0,5,23,T,25748,N,7,ZA,0,2,N,0,O,1,13,2,4,-1,N,CA
